Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Mammals,Rorquals,Humpback Whale,Megaptera novaeangliae,2023-09-16,US-CA,"3,194","1,243",,,
Moths,Sphinginae,Carolina Sphinx,Manduca sexta,#N/A,,"3,188",673,9,,
Dragonflies,Darners,Blue-eyed Darner,Rhionaeschna multicolor,2023-08-16,US-CA,"3,141","1,640",,,
Flowering Plants,Lilies,Humboldt's Lily,Lilium humboldtii,2025-05-31,US-CA,"3,077",2,,6,"Nevada City, South Coast hills"
Lizards,Phrynosomatid Lizards,Zebra-tailed Lizard,Callisaurus draconoides,2023-05-09,US-AZ,"3,035",0,,,
Nudibranchs,Discodorididae,Noble Dorid,Peltodoris nobilis,2026-03-16,US-CA,"3,007","1,385",,,
Flowering Plants,Clarkias,Diamond Clarkia,Clarkia rhomboidea,#N/A,,"2,930",46,,,
Butterflies,Spread-wing Skippers,Mournful Duskywing,Erynnis tristis,2024-06-17,US-CA,"2,900","1,272",,,
Nudibranchs,Aglajidae,California Aglaja,Navanax inermis,2025-11-27,US-CA,"2,871",7,,12,
Mammals,Squirrels,White-tailed Antelope Squirrel,Ammospermophilus leucurus,2025-05-18,US-CA,"2,866",0,,3,Mojave/Colorado desert
Nudibranchs,Facelinidae,Hilton's Aeolid,Phidiana hiltoni,2024-10-17,US-CA,"2,786","2,338",,,
Sea Stars,Asteropseidae,Leather Star,Dermasterias imbricata,2024-10-17,US-CA,"2,759","1,553",,,
Flowering Plants,Lilies,Hooker's Fairybells,Prosartes hookeri,2026-03-21,US-CA,"2,749","2,185",,,
Flowering Plants,Violets,Stream Violet,Viola glabella,2026-04-23,US-CA,"2,747","1,647",,,
Lizards,Phrynosomatid Lizards,Desert Horned Lizard,Phrynosoma platyrhinos,#N/A,,"2,741",0,,5,
Flowering Plants,Monkeyflowers,Wide-throated Yellow Monkeyflower,Diplacus brevipes,#N/A,,"2,719",0,,,
Flowering Plants,Monkeyflowers,Primrose Monkeyflower,Erythranthe primuloides,2025-08-06,US-CA,"2,692",0,,,
Flowering Plants,Lilies,Catalina Mariposa Lily,Calochortus catalinae,#N/A,,"2,686",0,,4,
Mammals,Squirrels,Golden-mantled Ground Squirrel,Callospermophilus lateralis,2024-08-06,US-CA,"2,655",0,,,
Flowering Plants,Clarkias,Red Ribbons,Clarkia concinna,2024-06-06,US-CA,"2,583","2,052",,,
Mammals,Oceanic Dolphins,Common Bottlenose Dolphin,Tursiops truncatus,2024-03-18,US-CA,"2,523",392,,,
Lizards,Phrynosomatid Lizards,Desert Spiny Lizard,Sceloporus magister,#N/A,,"2,515",0,,5,
Moths,Emperor Moths,Ceanothus Silk Moth,Hyalophora euryalus,#N/A,,"2,509",970,4,,
Nudibranchs,Discodorididae,Red Sponge Dorid,Rostanga pulchra,2025-05-30,US-CA,"2,504","1,084",,,
Snakes,Colubrid Snakes,Sharp-tailed Snake,Contia tenuis,#N/A,,"2,475","1,605",4,,
Snakes,Colubrid Snakes,Aquatic Garter Snake,Thamnophis atratus,2024-08-13,US-CA,"2,460","1,817",,,
Flowering Plants,Bellflowers,California Harebell,Smithiastrum prenanthoides,#N/A,,"2,447","1,420",7,,Mt Tam
Nudibranchs,Polyceridae,Clown Dorid,Triopha catalinae,2024-09-19,US-CA,"2,444","1,408",,,
Mammals,Squirrels,Douglas' Squirrel,Tamiasciurus douglasii,2023-08-19,US-CA,"2,421",41,,,
Flowering Plants,Violets,Pine Violet,Viola lobata,#N/A,,"2,414",477,4,,
Sea Stars,Ophiotrichidae,Western Spiny Brittle Star,Ophiothrix spiculata,2024-08-22,US-CA,"2,391",266,,,
