Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Damselflies,Narrow-winged Damselflies,Rambur's Forktail,Ischnura ramburii,#N/A,,303,0,,,
Dragonflies,Skimmers,Red-veined Meadowhawk,Sympetrum madidum,#N/A,,302,130,5,,
Flowering Plants,Monkeyflowers,Bolander's Monkeyflower,Diplacus bolanderi,#N/A,,300,59,5,,
Butterflies,Grass Skippers,American Branded Skipper,Hesperia colorado,#N/A,,299,43,,,
Nudibranchs,Cuthonidae,Rose-pink Cuthona,Cuthona divae,#N/A,,298,190,5,,
Lizards,Anoles,Brown Anole,Anolis sagrei,2022-03-15,US-HI,296,0,,,
Flowering Plants,Threadplants,Desert Threadplant,Nemacladus rubescens,#N/A,,295,0,,,
Flowering Plants,Lilies,Stinkbells,Fritillaria agrestis,#N/A,,294,127,3,,
Lizards,Collared Lizards,Blunt-nosed Leopard Lizard,Gambelia sila,#N/A,,289,0,,,
Flowering Plants,Monkeyflowers,Dudley's Monkeyflower,Erythranthe geniculata,#N/A,,287,0,,,
Butterflies,Blues,Anna's Blue,Plebejus anna,2023-08-05,US-CA,285,0,,,
Snakes,Typical Blind Snakes,Brahminy Blindsnake,Indotyphlops braminus,#N/A,,285,0,,,
Nudibranchs,Haminoeidae,Japanese Bubble Snail,Haloa japonica,2024-09-12,US-CA,284,279,,,
Butterflies,True Metalmarks,Wright's Metalmark,Calephelis wrighti,2023-11-25,US-CA,284,0,,,
Butterflies,Whites,Spring White,Pontia sisymbrii,#N/A,,284,65,5,,
Flowering Plants,Lobelias,Bach's Calicoflower,Downingia bacigalupii,#N/A,,283,0,,,
Moths,Sphinginae,Great Ash Sphinx,Sphinx chersis,#N/A,,281,45,,,
Flowering Plants,Clarkias,Dudley's Clarkia,Clarkia dudleyana,#N/A,,280,0,,,
Flowering Plants,Bellflowers,Western Pearlflower,Heterocodon rariflorus,#N/A,,279,52,6,,
Mammals,Evening Bats,Pallid Bat,Antrozous pallidus,#N/A,,279,67,6,,Greathouse Visitor Center
Flowering Plants,Bellflowers,Common Bluecup,Githopsis specularioides,#N/A,,278,136,4,,
Nudibranchs,Trinchesiidae,Shiny Aeolid,Zelentia fulgens,#N/A,,277,233,6,,
Newts & Salamanders,Lungless Salamanders,Santa Cruz Black Salamander,Aneides niger,#N/A,,274,226,12,,
Mammals,Oceanic Dolphins,Pacific White-sided Dolphin,Sagmatias obliquidens,2023-09-16,US-CA,274,92,,,
Flowering Plants,Monkeyflowers,Miniature Monkeyflower,Erythranthe suksdorfii,#N/A,,273,0,,,
Flowering Plants,Monkeyflowers,Granite-crack Monkeyflower,Diplacus graniticola,#N/A,,272,0,,,
Turles & Tortoises,Typical Sea Turtles,Green Sea Turtle,Chelonia mydas,2025-04-04,US-HI,271,2,,,
Flowering Plants,Monkeyflowers,Cut-leaved Monkeyflower,Erythranthe laciniata,#N/A,,266,0,,,
Nudibranchs,Apataidae,Price's Aeolid,Apata pricei,#N/A,,264,32,,,
Flowering Plants,Orchids,Michael's Rein Orchid,Platanthera michaelii,#N/A,,264,122,5,,
Dragonflies,Clubtails,Gray Sanddragon,Progomphus borealis,#N/A,,263,12,,,
Flowering Plants,Monkeyflowers,Cleveland's Bush Monkeyflower,Diplacus clevelandii,#N/A,,263,0,,,
Damselflies,Narrow-winged Damselflies,California Dancer,Argia agrioides,#N/A,,262,86,8,,
Mammals,Skunks & Stink-Badgers,Western Spotted Skunk,Spilogale gracilis,#N/A,,262,28,,,
Flowering Plants,Threadplants,Redtip Threadplant,Nemacladus orientalis,#N/A,,262,0,,,
Mammals,Mice & Rats,Big-eared Woodrat,Neotoma macrotis,#N/A,,261,0,,,
Butterflies,Fritillaries & Longwings,Mormon Fritillary,Argynnis mormonia,2023-10-14,US-CA,260,0,,,
Flowering Plants,Lilies,White Twisted-Stalk,Streptopus amplexifolius,#N/A,,260,0,,,
Lizards,Night Lizards,Island Night Lizard,Xantusia riversiana,#N/A,,259,0,,,
Mammals,"Raccoons, Coatis, & Allies",Ringtail,Bassariscus astutus,#N/A,,258,7,,,
Butterflies,Coppers,Lilac-bordered Copper,Tharsalea nivalis,2023-08-05,US-CA,256,0,,,
Mammals,Kangaroo Rats & Pocket Mice,Desert Kangaroo Rat,Dipodomys deserti,#N/A,,254,0,,,
Flowering Plants,Lobelias,Hoover's Calicoflower,Downingia bella,2026-04-18,US-CA,254,127,,,
Flowering Plants,Lobelias,Dwarf Calicoflower,Downingia pusilla,#N/A,,253,243,4,,
Flowering Plants,Lilies,Bolander's Lily,Lilium bolanderi,#N/A,,252,0,,,
Flowering Plants,Lobelias,Folded Calicoflower,Downingia ornatissima,#N/A,,252,109,5,,Near Mather (Sac area)
Flowering Plants,Clarkias,Chaparral Clarkia,Clarkia affinis,#N/A,,250,221,5,,
Sea Stars,Long-armed Brittle Stars,Long-armed Brittle Star,Amphiodia occidentalis,#N/A,,250,84,2,,
Flowering Plants,Monkeyflowers,Palomar Monkeyflower,Erythranthe diffusa,#N/A,,250,0,,,
Mammals,Evening Bats,Hoary Bat,Lasiurus cinereus,#N/A,,248,112,10,,
Butterflies,True Metalmarks,Mexican Metalmark,Apodemia mejicanus,#N/A,,248,0,,,
Mammals,Evening Bats,Townsend's Big-eared Bat,Corynorhinus townsendii,#N/A,,247,30,,,
Nudibranchs,Dironidae,White-lined Dirona,Dirona albolineata,#N/A,,246,13,,,
Flowering Plants,Lilies,Sagebrush Mariposa Lily,Calochortus macrocarpus,#N/A,,246,0,,,
Flowering Plants,Monkeyflowers,Bearded Monkeyflower,Erythranthe barbata,#N/A,,245,0,,,
Frogs & Toads,Tailed Frogs,Coastal Tailed Frog,Ascaphus truei,#N/A,,245,0,,,
Nudibranchs,Eubranchidae,Green Balloon Aeolid,Eubranchus olivaceus,#N/A,,241,47,,,
Flowering Plants,Lobelias,Dunn's Lobelia,Palmerella debilis,#N/A,,238,0,,,
Sea Stars,Ophiotrichidae,Rough Banded Brittle Star,Ophiothrix rudis,#N/A,,237,31,,,
Moths,Buck & Io Moths,Pandora Pinemoth,Coloradia pandora,#N/A,,236,4,,,
Mammals,Kangaroo Rats & Pocket Mice,Merriam's Kangaroo Rat,Dipodomys merriami,#N/A,,236,0,,,
Flowering Plants,Lilies,Beavertail-Grass,Calochortus coeruleus,#N/A,,236,0,,,
Nudibranchs,Coryphellidae,Cooper's Aeolid,Coryphella cooperi,#N/A,,234,37,,,
Mammals,Hares & Rabbits,European Rabbit,Oryctolagus cuniculus,2023-08-31,PT-15,234,79,,,
Flowering Plants,Clarkias,Gunsight Clarkia,Clarkia xantiana,#N/A,,233,0,,,
Butterflies,Checkerspots & Anglewings,Milbert's Tortoiseshell,Aglais milberti,2023-08-19,US-CA,232,0,,,
Dragonflies,Clubtails,Bison Snaketail,Ophiogomphus bison,#N/A,,232,66,5,,
Damselflies,Spreadwings & Allies,Spotted Spreadwing,Lestes congener,2024-08-20,US-CA,232,67,,,
Flowering Plants,Bellflowers,Venus's Looking-Glass,Triodanis biflora,#N/A,,229,27,,,
Flowering Plants,Lilies,Dunn's Mariposa Lily,Calochortus dunnii,#N/A,,229,0,,,
Butterflies,Blues,Shasta Blue,Icaricia shasta,#N/A,,228,0,,,
Moths,Sphinginae,Five-spotted Hawk Moth,Manduca quinquemaculatus,#N/A,,228,4,,,
Nudibranchs,Corambidae,Steinberg's Corambe,Corambe steinbergae,#N/A,,227,30,,,
Mammals,Evening Bats,Canyon Bat,Parastrellus hesperus,#N/A,,226,3,,,
Flowering Plants,Lobelias,Fleshy Porterella,Porterella carnosula,#N/A,,226,0,,,
Butterflies,Hairstreaks,Gold-hunter's Hairstreak,Satyrium auretorum,#N/A,,225,7,,,
Flowering Plants,Hellebores & Trilliums,Meadow Deathcamas,Toxicoscordion venenosum,#N/A,,224,15,,,
Flowering Plants,Orchids,Alaska Rein Orchid,Platanthera unalascensis,#N/A,,223,11,,,
Butterflies,Checkerspots & Anglewings,Leanira Checkerspot,Chlosyne leanira,2024-06-06,US-CA,222,74,,,
Flowering Plants,Lilies,Glacier Lily,Erythronium grandiflorum,#N/A,,222,0,,,
Newts & Salamanders,Lungless Salamanders,Klamath Black Salamander,Aneides klamathensis,#N/A,,222,0,,,
Moths,Sphinx Moths,Clark's Sphinx,Proserpinus clarkiae,2025-04-18,US-CA,220,81,,,
Dragonflies,Skimmers,Roseate Skimmer,Orthemis ferruginea,2024-03-16,US-TX,220,1,,,
Sea Stars,Ophionereididae,Ophionereis diabloensis,Ophionereis diabloensis,#N/A,,219,0,,,
Moths,Smerinthinae,Western Poplar Sphinx,Pachysphinx occidentalis,#N/A,,219,15,,,
Frogs & Toads,True Toads,Woodhouse's Toad,Anaxyrus woodhousii,#N/A,,217,0,,,
Flowering Plants,Monkeyflowers,Coralline Monkeyflower,Erythranthe corallina,#N/A,,215,0,,,
Damselflies,Narrow-winged Damselflies,Exclamation Damsel,Zoniagrion exclamationis,#N/A,,213,205,5,,
Sea Stars,Ophidiasteridae,Tamarisk Sea Star,Linckia columbiae,#N/A,,213,0,,,
Dragonflies,Petaltails,Black Petaltail,Tanypteryx hageni,#N/A,,211,6,,,
Dragonflies,Skimmers,Band-winged Meadowhawk,Sympetrum semicinctum,2025-06-22,US-CA,211,9,,,
Mammals,Mice & Rats,Western Deer Mouse,Peromyscus sonoriensis,#N/A,,210,105,5,,
Flowering Plants,Clarkias,Davy's Clarkia,Clarkia davyi,#N/A,,209,194,6,,
Flowering Plants,Monkeyflowers,Rockjasmine Monkeyflower,Erythranthe androsacea,#N/A,,209,10,,,
Snakes,Colubrid Snakes,Desert Nightsnake,Hypsiglena chlorophaea,#N/A,,205,0,,,
Butterflies,Hairstreaks,Loki Hairstreak,Callophrys loki,#N/A,,205,0,,,
Flowering Plants,Monkeyflowers,Purplelip Pansy Monkeyflower,Diplacus angustatus,#N/A,,201,102,4,,
Flowering Plants,Monkeyflowers,Dwarf Purple Monkeyflower,Diplacus nanus,#N/A,,200,0,,,
Damselflies,Narrow-winged Damselflies,Blue-ringed Dancer,Argia sedula,#N/A,,200,0,,,
Flowering Plants,Lilies,Alkali Mariposa Lily,Calochortus striatus,#N/A,,199,0,,,
Damselflies,Spreadwings & Allies,Emerald Spreadwing,Lestes dryas,#N/A,,199,0,,,
Mammals,Evening Bats,Big Brown Bat,Eptesicus fuscus,#N/A,,196,37,,,
Frogs & Toads,True Toads,Black Toad,Anaxyrus exsul,#N/A,,196,0,,,
Butterflies,Grass Skippers,Juba Skipper,Hesperia juba,2024-09-22,US-CA,195,2,,,
Sea Stars,Echinasterid Sea Stars,Pacific Blood Star,Henricia leviuscula,#N/A,,192,17,,,
Dragonflies,Emerald Dragonflies,American Emerald,Cordulia shurtleffii,#N/A,,192,0,,,
Nudibranchs,Onchidorididae,Hudson's Horned Dorid,Acanthodoris hudsoni,#N/A,,192,32,,,
Damselflies,Narrow-winged Damselflies,Arroyo Bluet,Enallagma praevarum,#N/A,,191,82,5,,
Lizards,Phrynosomatid Lizards,Colorado Desert Fringe-toed Lizard,Uma notata,#N/A,,191,0,,,
Nudibranchs,Arminidae,Striped Nudibranch,Armina californica,#N/A,,190,1,,,
Mammals,Mice & Rats,Western Harvest Mouse,Reithrodontomys megalotis,#N/A,,190,53,9,,
Flowering Plants,Threadplants,Desert Nemacladus,Nemacladus tenuis,#N/A,,189,0,,,
Butterflies,Fritillaries & Longwings,Great Basin Fritillary,Argynnis egleis,2023-08-05,US-CA,188,0,,,
Mammals,Eared Seals,Northern Fur Seal,Callorhinus ursinus,2023-09-16,US-CA,187,199,,,
Flowering Plants,Orchids,Western Ladies' Tresses,Spiranthes porrifolia,#N/A,,185,81,6,,
Flowering Plants,Threadplants,Inyo Threadplant,Nemacladus sigmoideus,#N/A,,185,0,,,
Flowering Plants,Clarkias,Redspot Clarkia,Clarkia speciosa,#N/A,,184,0,,,
Lizards,Collared Lizards,Baja California Collared Lizard,Crotaphytus vestigium,#N/A,,183,0,,,
Flowering Plants,Lilies,La Panza Mariposa Lily,Calochortus simulans,#N/A,,183,0,,,
Flowering Plants,Monkeyflowers,Calico Monkeyflower,Diplacus pictus,#N/A,,183,0,,,
Flowering Plants,Violets,Hall's Violet,Viola hallii,#N/A,,183,0,,,
Flowering Plants,Lilies,Siskiyou Fritillary,Fritillaria glauca,#N/A,,182,0,,,
Nudibranchs,Actinocyclidae,Chan's Dorid,Hallaxa chani,#N/A,,181,139,7,,
Butterflies,Beak & Snout Butterflies,American Snout,Libytheana carinenta,2024-03-16,US-TX,180,1,,,
Nudibranchs,Haminoeidae,Blister Glassy-Bubble,Haminoea vesicula,#N/A,,179,6,,,
Flowering Plants,Monkeyflowers,Yellow-lip Pansy Monkeyflower,Diplacus pulchellus,#N/A,,179,0,,,
Sea Stars,Asteriid Sea Stars,Fragile Rainbow Star,Astrometis sertulifera,#N/A,,178,0,,,
Moths,Buck & Io Moths,Electra Buckmoth,Hemileuca electra,#N/A,,177,0,,,
Lizards,Whiptails & Tegus,Sonoran Spotted Whiptail,Aspidoscelis sonorae,#N/A,,177,8,,,
Flowering Plants,Monkeyflowers,Mojave Monkeyflower,Diplacus mohavensis,#N/A,,176,0,,,
Flowering Plants,Monkeyflowers,Montia-like Monkeyflower,Erythranthe montioides,#N/A,,175,0,,,
Mammals,New World Porcupines,North American Porcupine,Erethizon dorsatum,#N/A,,175,8,,,
Mammals,Squirrels,Round-tailed Ground Squirrel,Xerospermophilus tereticaudus,#N/A,,174,0,,,
Nudibranchs,Janolidae,White-and-orange-tipped Nudibranch,Antiopella fusca,#N/A,,173,52,8,,Coleman Beach (north of Bodega Bay)
Butterflies,Yellows & Sulphurs,Harford's Sulphur,Colias harfordii,#N/A,,169,0,,,
Dragonflies,Skimmers,Chalk-fronted Corporal,Ladona julia,#N/A,,168,0,,,
Damselflies,Spreadwings & Allies,Northern Spreadwing,Lestes disjunctus,2024-09-02,US-CA,168,53,,,
Flowering Plants,Clarkias,Glandular Clarkia,Clarkia arcuata,#N/A,,166,0,,,
Nudibranchs,Hancockiidae,Hancock's Nudibranch,Hancockia californica,#N/A,,166,65,7,,
Dragonflies,Skimmers,Pale-faced Clubskimmer,Brechmorhoga mendax,#N/A,,166,19,,,
Butterflies,Blues,Square-spotted Blue,Euphilotes battoides,2025-05-18,US-CA,165,0,,,
Flowering Plants,Threadplants,Short-Flowered Threadplant,Nemacladus breviflorus,#N/A,,165,0,,,
Flowering Plants,Monkeyflowers,Threadleaf Primrose Monkeyflower,Erythranthe linearifolia,#N/A,,164,0,,,
Flowering Plants,Clarkias,Ramona Clarkia,Clarkia similis,#N/A,,163,0,,,
Dragonflies,Darners,Paddle-tailed Darner,Aeshna palmata,2024-07-18,CA-AB,163,30,,,
Butterflies,Hairstreaks,Moss's Elfin,Callophrys mossii,#N/A,,163,126,3,,
Flowering Plants,Monkeyflowers,Wingstem Monkeyflower,Erythranthe alsinoides,#N/A,,163,0,,,
Butterflies,Blues,Arrowhead Blue,Glaucopsyche piasus,#N/A,,162,0,,,
Nudibranchs,Discodorididae,Northern Leopard Dorid,Diaulula odonoghuei,#N/A,,162,24,,,
Flowering Plants,Monkeyflowers,Johnston's Monkeyflower,Diplacus johnstonii,#N/A,,162,0,,,
Sea Stars,Asteriid Sea Stars,Sunflower Sea Star,Pycnopodia helianthoides,#N/A,,161,54,6,,
Flowering Plants,Monkeyflowers,Parish's Monkeyflower,Erythranthe parishii,#N/A,,161,0,,,
Lizards,Phyllodactylid Geckos,Peninsular Leaf-toed Gecko,Phyllodactylus nocticolus,#N/A,,161,0,,,
Dragonflies,Skimmers,Desert Whitetail,Plathemis subornata,#N/A,,161,0,,,
Snakes,Vipers,Western Diamond-backed Rattlesnake,Crotalus atrox,2022-05-01,US-TX,161,0,,,
Flowering Plants,Monkeyflowers,Congdon's Monkeyflower,Diplacus congdonii,#N/A,,160,100,3,,
Flowering Plants,Monkeyflowers,Rattan's Monkeyflower,Diplacus rattanii,#N/A,,159,136,5,,Quill Hollow Ranch County Park (Santa Cruz)
Newts & Salamanders,Lungless Salamanders,Gregarious Slender Salamander,Batrachoseps gregarius,#N/A,,157,0,,,
Dragonflies,Clubtails,White-belted Ringtail,Erpetogomphus compositus,#N/A,,156,1,,,
Flowering Plants,Lilies,Striped Adobe Lily,Fritillaria striata,#N/A,,156,0,,,
Nudibranchs,Discodorididae,Mimic Dorid,Baptodoris mimetica,#N/A,,155,6,,,
Dragonflies,Emerald Dragonflies,Beaverpond Baskettail,Epitheca canis,2026-04-26,,155,88,4,,
Flowering Plants,Monkeyflowers,Slender Monkeyflower,Diplacus leptaleus,#N/A,,155,0,,,
Dragonflies,Skimmers,Hoary Skimmer,Libellula nodisticta,#N/A,,153,1,,,
Flowering Plants,Clarkias,Mountain Clarkia,Clarkia heterandra,#N/A,,152,0,,,
Flowering Plants,Clarkias,Lewis' Clarkia,Clarkia lewisii,#N/A,,152,0,,,
Dragonflies,Darners,Walker's Darner,Aeshna walkeri,#N/A,,152,60,10,,
Flowering Plants,Violets,Canary Violet,Viola praemorsa,#N/A,,151,0,,,
Butterflies,Swallowtails,Indra Swallowtail,Papilio indra,#N/A,,150,5,,,
Mammals,Hares & Rabbits,Mountain Cottontail,Sylvilagus nuttallii,2025-08-03,US-CO,149,0,,,
Lizards,Phyllodactylid Geckos,Moorish Gecko,Tarentola mauritanica,#N/A,,149,0,,,
Nudibranchs,Goniodorididae,Freckled Ancula,Ancula lentiginosa,#N/A,,148,10,,,
Flowering Plants,Orchids,Yadon's Rein Orchid,Platanthera yadonii,#N/A,,146,9,,,
Butterflies,Grass Skippers,Columbian Skipper,Hesperia columbia,2025-04-18,US-CA,145,95,,,
Flowering Plants,Orchids,Heartleaf Twayblade,Neottia cordata,#N/A,,144,0,,,
Sea Stars,Asteriid Sea Stars,Giant Pink Sea Star,Pisaster brevispinus,#N/A,,143,63,1,,
Butterflies,Coppers,Ruddy Copper,Tharsalea rubidus,#N/A,,143,0,,,
Damselflies,Narrow-winged Damselflies,Powdered Dancer,Argia moesta,2024-07-02,US-GA,143,0,,,
Flowering Plants,Hellebores & Trilliums,Smallflower Deathcamas,Toxicoscordion fontanum,2026-04-10,US-CA,141,133,6,,
Damselflies,Narrow-winged Damselflies,Western Red Damsel,Amphiagrion abbreviatum,#N/A,,141,2,,,
Butterflies,Whites,Western White,Pontia occidentalis,2023-08-05,US-CA,141,0,,,
Flowering Plants,Lilies,Yellow Fritillary,Fritillaria pudica,#N/A,,140,0,,,
Flowering Plants,Monkeyflowers,Slender-stemmed Monkeyflower,Erythranthe filicaulis,#N/A,,140,0,,,
Flowering Plants,Monkeyflowers,Kelso Creek Monkeyflower,Erythranthe shevockii,#N/A,,139,0,,,
Butterflies,Spread-wing Skippers,Common Sootywing,Pholisora catullus,#N/A,,139,89,8,,
Flowering Plants,Threadplants,Onesided Threadplant,Nemacladus secundiflorus,#N/A,,138,0,,,
Butterflies,Checkerspots & Anglewings,Oreas Comma,Polygonia oreas,2024-08-20,US-CA,137,90,,,
Moths,Sphinginae,Vashti Sphinx,Sphinx vashti,#N/A,,136,0,,,
Flowering Plants,Lilies,Coast Fawn Lily,Erythronium revolutum,#N/A,,135,0,,,
Butterflies,Spread-wing Skippers,Sleepy Duskywing,Erynnis brizo,#N/A,,134,21,,,
Damselflies,Spreadwings & Allies,Black Spreadwing,Lestes stultus,2025-06-22,US-CA,134,96,,,
Flowering Plants,Monkeyflowers,Redstem Monkeyflower,Erythranthe rubella,#N/A,,133,0,,,
Damselflies,Narrow-winged Damselflies,Lavender Dancer,Argia hinei,#N/A,,133,0,,,
Dragonflies,Skimmers,Dot-tailed Whiteface,Leucorrhinia intacta,#N/A,,132,0,,,
Mammals,Squirrels,Long-eared Chipmunk,Neotamias quadrimaculatus,2024-09-20,US-CA,132,0,,,
Flowering Plants,Bellflowers,San Gabriel Bluecup,Githopsis diffusa,#N/A,,131,12,,,
Nudibranchs,Dendrodorididae,Doriopsilla rowena,Doriopsilla rowena,#N/A,,130,0,,,
Flowering Plants,Orchids,Cooper's Rein Orchid,Platanthera cooperi,#N/A,,130,0,,,
Mammals,Rorquals,Fin Whale,Balaenoptera physalus,2024-08-31,US-CA,130,42,,,
Dragonflies,Skimmers,Crimson-ringed Whiteface,Leucorrhinia glacialis,2024-07-16,CA-AB,130,0,,,
Flowering Plants,Monkeyflowers,Stanislaus Monkeyflower,Erythranthe marmorata,#N/A,,129,0,,,
Frogs & Toads,North American Spadefoots,Great Basin Spadefoot,Spea intermontana,#N/A,,129,0,,,
Flowering Plants,Monkeyflowers,Party-colored Monkeyflower,Erythranthe discolor,#N/A,,127,0,,,
Butterflies,Dicot Skippers,Nevada Cloudywing,Thorybes nevada,2023-08-06,US-CA,126,0,,,
Flowering Plants,Lilies,Talus Fritillary,Fritillaria falcata,#N/A,,126,97,4,,
Moths,Sphinginae,Pink-spotted Hawkmoth,Agrius cingulata,#N/A,,126,0,,,
Damselflies,Spreadwings & Allies,Great Spreadwing,Archilestes grandis,#N/A,,126,10,,,
Nudibranchs,Tritoniidae,Keen's Tritonid,Tritonicula myrakeenae,#N/A,,126,0,,,
Butterflies,Coppers,Hermes Copper,Tharsalea hermes,#N/A,,125,0,,,
Mammals,Mice & Rats,Bryant's Woodrat,Neotoma bryanti,#N/A,,125,0,,,
Butterflies,Blues,Friday's Blue,Plebejus fridayi,#N/A,,122,0,,,
Flowering Plants,Monkeyflowers,Jepson's Monkeyflower,Diplacus jepsonii,#N/A,,122,0,,,
Flowering Plants,Clarkias,Waltham Creek Clarkia,Clarkia modesta,#N/A,,121,104,5,,
Flowering Plants,Lilies,Cedars Mariposa Lily,Calochortus raichei,#N/A,,121,121,6,,
Damselflies,Narrow-winged Damselflies,Desert Forktail,Ischnura barberi,#N/A,,121,1,,,
Flowering Plants,Orchids,Broad-lipped Twayblade,Neottia convallarioides,#N/A,,121,0,,,
Flowering Plants,Lilies,Shirley Meadows Star-Tulip,Calochortus westonii,#N/A,,118,0,,,
Flowering Plants,Threadplants,Long-flowered Nemacladus,Nemacladus longiflorus,#N/A,,118,0,,,
Butterflies,Blues,Glaucon Blue,Euphilotes glaucon,#N/A,,116,0,,,
Butterflies,Hairstreaks,Thicket Hairstreak,Callophrys spinetorum,#N/A,,115,29,,,
Flowering Plants,Monkeyflowers,Santa Susana Monkeyflower,Diplacus rutilus,#N/A,,114,0,,,
Butterflies,Spread-wing Skippers,Small Checkered-Skipper,Pyrgus scriptura,#N/A,,114,44,,,
Butterflies,Whites,Desert Orangetip,Anthocharis cethura,#N/A,,114,0,,,
Flowering Plants,Threadplants,White Mountains Threadplant,Nemacladus morefieldii,#N/A,,113,0,,,
Dragonflies,Darners,Giant Darner,Anax walsinghami,#N/A,,111,4,,,
Dragonflies,Skimmers,Comanche Skimmer,Libellula comanche,#N/A,,111,0,,,
Moths,Buck & Io Moths,Nevada Buck Moth,Hemileuca nevadensis,#N/A,,110,0,,,
Dragonflies,Darners,Shadow Darner,Aeshna umbrosa,2024-09-21,US-CA,110,15,,,
Turles & Tortoises,Softshell & Flapshell Turtles,Florida Softshell Turtle,Apalone ferox,#N/A,,110,6,,,
Flowering Plants,Monkeyflowers,Pulsifer's Monkey-Flower,Erythranthe pulsiferae,#N/A,,109,12,,,
Butterflies,Yellows & Sulphurs,Sierra Sulphur,Colias behrii,#N/A,,109,0,,,
Mammals,Kangaroo Rats & Pocket Mice,Dulzura Kangaroo Rat,Dipodomys simulans,#N/A,,108,0,,,
Flowering Plants,Orchids,Mountain Lady's-Slipper,Cypripedium montanum,#N/A,,108,0,,,
Flowering Plants,Bellflowers,Chaparral Harebell,Ravenella exigua,#N/A,,106,101,5,,
Dragonflies,Darners,Variable Darner,Aeshna interrupta,#N/A,,106,0,,,
Nudibranchs,Polyceridae,Three-color Polycera,Polycera tricolor,#N/A,,106,0,,,
Nudibranchs,Trinchesiidae,Catriona spadix,Catriona spadix,#N/A,,104,35,,,
Mammals,Evening Bats,Western Red Bat,Lasiurus frantzii,#N/A,,103,42,,,
Flowering Plants,Lilies,Cat's Ear,Calochortus elegans,#N/A,,103,0,,,
Flowering Plants,Threadplants,Badger Flat Threadplant,Nemacladus inyoensis,#N/A,,102,0,,,
Sea Stars,Comb Stars,California Sand Star,Astropecten verrilli,#N/A,,101,0,,,
Newts & Salamanders,Lungless Salamanders,Samwel Shasta Salamander,Hydromantes samweli,#N/A,,101,0,,,
Butterflies,"Satyrs, Morphos, & Allies",Small Wood-Nymph,Cercyonis oetus,2023-08-06,US-CA,101,0,,,
Flowering Plants,Lilies,Butte County Fritillary,Fritillaria eastwoodiae,#N/A,,100,0,,,
Flowering Plants,Monkeyflowers,Low Bush Monkeyflower,Diplacus aridus,#N/A,,99,0,,,
Flowering Plants,Monkeyflowers,Parry Monkeyflower,Diplacus parryi,#N/A,,99,0,,,
Flowering Plants,Monkeyflowers,Irish Hills Monkeyflower,Erythranthe serpentinicola,#N/A,,98,0,,,
Nudibranchs,Cadlinidae,Limbaugh's Cadlina,Cadlina limbaughorum,#N/A,,97,0,,,
Butterflies,Fritillaries & Longwings,Great Spangled Fritillary,Argynnis cybele,2024-07-19,CA-AB,97,0,,,
Nudibranchs,Dorididae,White Smooth-horn Dorid,Conualevia alba,#N/A,,96,0,,,
Mammals,Evening Bats,Yuma Myotis,Myotis yumanensis,#N/A,,96,18,,,
Butterflies,"Satyrs, Morphos, & Allies",Great Arctic,Oeneis nevadensis,#N/A,,96,0,,,
Flowering Plants,Monkeyflowers,Bare Monkeyflower,Erythranthe nudata,#N/A,,95,76,4,,
Sea Stars,Ophiactidae,Little Six-arm Brittle Star,Ophiactis savignyi,#N/A,,95,0,,,
Flowering Plants,Orchids,Great Basin Bog Orchid,Platanthera tescamnis,#N/A,,95,0,,,
Butterflies,Hairstreaks,Muir's Hairstreak,Callophrys muiri,#N/A,,94,90,5,,
Snakes,Colubrid Snakes,Northwestern Garter Snake,Thamnophis ordinoides,#N/A,,93,0,,,
Butterflies,Coppers,Mariposa Copper,Tharsalea mariposa,2023-10-14,US-CA,93,0,,,
Flowering Plants,Lilies,San Benito Fritillary,Fritillaria viridea,#N/A,,93,0,,,
Mammals,Shrews,Vagrant Shrew,Sorex vagrans,#N/A,,93,46,,,
Mammals,Hares & Rabbits,White-tailed Jackrabbit,Lepus townsendii,#N/A,,92,0,,,
Butterflies,Whites,Gray Marble,Anthocharis lanceolata,#N/A,,91,4,,,
Nudibranchs,Diaphanidae,California Diaphana,Diaphana californica,#N/A,,90,18,,,
Butterflies,Hairstreaks,Mallow Scrub-Hairstreak,Strymon istapa,#N/A,,90,0,,,
Flowering Plants,Threadplants,Nuttall's Threadplant,Nemacladus ramosissimus,#N/A,,90,0,,,
Butterflies,Grass Skippers,Dun Skipper,Euphyes vestris,2024-06-27,US-RI,89,29,,,
Butterflies,Whites,Desert Marble,Euchloe lotta,#N/A,,89,0,,,
Butterflies,Fritillaries & Longwings,Unsilvered Fritillary,Argynnis adiaste,#N/A,,88,65,7,,
Mammals,Mice & Rats,Desert Woodrat,Neotoma lepida,#N/A,,88,0,,,
Moths,Sphinx Moths,Ello Sphinx,Erinnyis ello,#N/A,,88,0,,,
Flowering Plants,Monkeyflowers,Field Monkey-Flower,Erythranthe arvensis,#N/A,,88,31,,,
Flowering Plants,Monkeyflowers,Little Purple Monkeyflower,Erythranthe purpurea,#N/A,,87,0,,,
Mammals,Mustelids,Pacific Marten,Martes caurina,#N/A,,87,0,,,
Flowering Plants,Bellflowers,Rough Harebell,Campanula scabrella,#N/A,,86,0,,,
Butterflies,Grass Skippers,Orange Skipperling,Copaeodes aurantiaca,2023-11-25,US-CA,86,0,,,
