Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Lizards,Iguanas & Chuckwallas,Common Chuckwalla,Sauromalus ater,#N/A,"6,059",0,4,3,5,Palm Springs/J Tree,DMoj,4,DSon,4,,,,No
Flowers,Clarkia,Winecup Clarkia,Clarkia purpurea,2024-05-22,"7,415","3,209",,,,,,,,,,,,No
Nudibranchs,Doridina,Monterey Dorid,Doris montereyensis,2024-09-19,"7,309","4,670",,,,,,,,,,,,Yes
Turtles,Pond & Box Turtles,Northwestern Pond Turtle,Actinemys marmorata,2023-09-24,"7,247","4,572",,,,,,,,,,,,No
Butterflies,Blues,Echo Azure,Celastrina echo,2024-01-11,"7,135","3,270",,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Granite Spiny Lizard,Sceloporus orcutti,#N/A,"5,914",0,4,3,5,Palm Springs/Riverside,PR,,,,,,,No
Butterflies,Whites,Checkered White,Pontia protodice,2023-07-28,"7,038",844,,,,,,,,,,,,No
Flowers,Larkspurs,Red Larkspur,Delphinium nudicaule,2026-03-08,7013,5120,,,,,,,,,,,,
Butterflies,Blues,Western Pygmy-Blue,Brephidium exilis,2023-08-22,"6,953","1,495",,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Desert Spiny Lizard,Sceloporus magister,2026-06-11,"5,294",0,5,4,6,,SNE,6,,,,,,No
Lizards,Iguanas & Chuckwallas,Desert Iguana,Dipsosaurus dorsalis,#N/A,"5,011",0,4,3,5,Anza Borego/Palm Springs,DMoj,,DSon,,,,,No
Snakes,Colubrid Snakes,Ring-necked Snake,Diadophis punctatus,2024-08-13,"6,629","3,712",,,,,,,,,,,,No
Flowers,Mariposa Lilies,Leichtlin's Mariposa Lily,Calochortus leichtlinii,2023-08-06,"6,460",0,,,,,,,,,,,,No
Flowers,Hellebores & Trilliums,Corn Lily,Veratrum californicum,2023-08-06,"6,384",0,,,,,,,,,,,,No
Dragonflies,Skimmers,Blue Dasher,Pachydiplax longipennis,2024-06-22,"6,357","1,712",,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Orange Sulphur,Colias eurytheme,2023-08-05,"6,317","2,408",,,,,,,,,,,,No
Butterflies,Grass Skippers,Woodland Skipper,Ochlodes sylvanoides,2023-08-16,"6,294","3,014",,,,,,,,,,,,No
Butterflies,True Metalmarks,Behr's Metalmark,Apodemia virgulti,2023-07-27,"6,246",0,,,,,,,,,,,,No
Flowers,Beardtongues,Showy Penstemon,Penstemon spectabilis,#N/A,4578,0,5,4,6,,SCo,,,,,,,
Flowers,Hellebores & Trilliums,Giant Wakerobin,Trillium chloropetalum,2024-02-25,"6,005","5,779",,,,,,,,,,,,No
Flowers,True Lilies,Andrews' Clintonia,Clintonia andrewsiana,2026-04-23,"5,964","3,890",,,,"Oak Hills (Reinhardt/Chabot), Marin",,,,,,,,No
Snakes,Vipers,Red Diamond Rattlesnake,Crotalus ruber,#N/A,"4,521",0,4,3,5,South Coast hills (south of LA),,,,,,,,No
Flowers,Mariposa Lilies,Butterfly Mariposa Lily,Calochortus venustus,2024-05-22,"5,884","1,903",,,,,,,,,,,,No
Lizards,Glass & Alligator Lizards,Northern Alligator Lizard,Elgaria coerulea,2023-08-19,"5,863","3,096",,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,American Lady,Vanessa virginiensis,2023-07-28,"5,786","2,471",,,,,,,,,,,,No
Butterflies,Spread-wing Skippers,Mournful Duskywing,Erynnis tristis,2024-06-17,"5,620","2,373",,,,,,,,,,,,No
Damselflies,Narrow-winged,Pacific Forktail,Ischnura cervula,2024-06-08,"5,541","2,659",,,,,,,,,,,,No
Dragonflies,Darners,Common Green Darner,Anax junius,2024-06-01,"5,536","1,945",,,,,,,,,,,,No
Flowers,Mariposa Lilies,Weed's Mariposa Lily,Calochortus weedii,#N/A,"4,488",0,6,5,,San Diego,SCo,6,PR,6,,,,No
Mammals,Mustelids,North American River Otter,Lontra canadensis,2023-05-17,"5,350","3,094",,,,,,,,,,,,No
Salamanders,Lungless Salamanders,Black-bellied Slender Salamander,Batrachoseps nigriventris,#N/A,"4,060",0,1,2,3,South Coast hills,TR,"1,2",SCoR,"1,2",,,,No
Mammals,Rorquals,Humpback Whale,Megaptera novaeangliae,2023-09-16,"5,257","2,044",,,,,,,,,,,,Yes
Flowers,Clarkia,Ruby Chalice Clarkia,Clarkia rubicunda,2023-08-16,"5,249","5,198",,,,,,,,,,,,No
Butterflies,Whites,Sara Orangetip,Anthocharis sara,2023-08-05,"5,199","1,155",,,,,,,,,,,,No
Flowers,Mariposa Lilies,Catalina Mariposa Lily,Calochortus catalinae,#N/A,"3,842",0,4,3,5,,TR,4,ChI,4,,,,No
Lizards,Phrynosomatid Lizards,Desert Horned Lizard,Phrynosoma platyrhinos,#N/A,"3,565",0,5,4,,,SNE,6,DMoj,,DSon,,,No
Flowers,Orchids,Broad-leaved Helleborine,Epipactis helleborine,2024-08-09,"5,076","4,848",,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Hilton's Aeolid,Phidiana hiltoni,2024-10-17,"5,069","3,816",,,,,,,,,,,,Yes
Lizards,Phrynosomatid Lizards,Southern Sagebrush Lizard,Sceloporus vandenburgianus,#N/A,"3,397",0,6,5,7,,TR,,,,,,,No
Mammals,Bovids,Bighorn Sheep,Ovis canadensis,2024-07-19,"4,945",0,,,,,,,,,,,,No
Flowers,Orchids,Spotted Coralroot,Corallorhiza maculata,2026-04-17,"4,934","2,139",,,,,,,,,,,,No
Butterflies,Blues,Silvery Blue,Glaucopsyche lygdamus,2024-03-23,"4,908","1,842",,,,,,,,,,,,No
