Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Lizards,Phrynosomatid Lizards,Colorado Desert Fringe-toed Lizard,Uma notata,#N/A,254,0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Lance's Doto,Doto lancei,#N/A,254,0,,,,,,,,,,,,Yes
Frogs & Toads,True Toads,Woodhouse's Toad,Anaxyrus woodhousii,#N/A,253,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Blue-ringed Dancer,Argia sedula,#N/A,252,0,,,,,,,,,,,,No
Dragonflies,Emerald Dragonflies,American Emerald,Cordulia shurtleffii,#N/A,252,0,,,,,,,,,,,,No
Birds,Water & Shorebirds,Yellow-footed Gull,Larus livens,#N/A,251,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Chalk-fronted Corporal,Ladona julia,#N/A,250,0,,,,,,,,,,,,No
Flowers,Violets,Shelton's Violet,Viola sheltonii,2026-03-07,699,2,,,,,,,,,,,,No
Flowers,Monkeyflowers,Palomar Monkeyflower,Erythranthe diffusa,#N/A,250,0,,,,,,,,,,,,No
Flowers,True Lilies,Striped Adobe Lily,Fritillaria striata,#N/A,249,0,,,,,,,,,,,,No
Flowers,Beardtongues,Palmer's Penstemon,Penstemon palmeri,#N/A,248,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Bearded Monkeyflower,Erythranthe barbata,#N/A,245,0,,,,,,,,,,,,No
Mammals,Mustelids,American Mink,Neogale vison,2024-06-22,688,333,,,,,,,,,,,,No
Butterflies,Coppers,Edith's Copper,Tharsalea editha,2026-06-10,688,0,,,,,,,,,,,,No
Flowers,True Lilies,Bolander's Lily,Lilium bolanderi,#N/A,245,0,,,,,,,,,,,,No
Butterflies,Coppers,Ruddy Copper,Tharsalea rubidus,#N/A,244,0,,,,,,,,,,,,No
Flowers,Beardtongues,Pinyon Beardtongue,Penstemon scapoides,#N/A,241,0,,,,,,,,,,,,
Flowers,Lobelias,Dunn's Lobelia,Palmerella debilis,#N/A,238,0,,,,,,,,,,,,No
Butterflies,Whites,Large Marble,Euchloe ausonides,2024-04-01,660,489,,,,,,,,,,,,No
Flowers,Clarkia,Gunsight Clarkia,Clarkia xantiana,#N/A,233,0,,,,,,,,,,,,No
Flowers,Lobelias,Fleshy Porterella,Porterella carnosula,#N/A,226,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,La Panza Mariposa Lily,Calochortus simulans,#N/A,225,0,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Harford's Sulphur,Colias harfordii,#N/A,223,0,,,,,,,,,,,,No
Mammals,Squirrels,Round-tailed Ground Squirrel,Xerospermophilus tereticaudus,#N/A,223,0,,,,,,,,,,,,No
Moths,Sphinx Moths,Rustic Sphinx,Manduca rustica,2025-01-02,652,0,,,,,,,,,,,,No
Butterflies,Blues,El Segundo Blue,Euphilotes allyni,#N/A,222,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Black-fronted Forktail,Ischnura denticollis,2025-05-18,648,89,,,,,,,,,,,,No
Mammals,Squirrels,Lodgepole Chipmunk,Neotamias speciosus,2023-08-19,648,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Desert Whitetail,Plathemis subornata,#N/A,221,0,,,,,,,,,,,,No
Mammals,Old World Mice & Rats,Brown Rat,Rattus norvegicus,2024-09-09,645,389,,,,,,,,,,,,No
Lizards,Collared Lizards,Baja California Collared Lizard,Crotaphytus vestigium,#N/A,220,0,,,,,,,,,,,,No
Butterflies,Blues,Dotted Blue,Euphilotes enoptes,2023-08-05,640,203,,,,,,,,,,,,No
Flowers,Monkeyflowers,Coralline Monkeyflower,Erythranthe corallina,#N/A,215,0,,,,,,,,,,,,No
Flowers,True Lilies,Siskiyou Fritillary,Fritillaria glauca,#N/A,211,0,,,,,,,,,,,,No
Flowers,True Lilies,Yellow Fritillary,Fritillaria pudica,#N/A,204,0,,,,,,,,,,,,No
Butterflies,Blues,Reakirt's Blue,Echinargus isola,2024-03-16,624,1,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Sierra Sulphur,Colias behrii,#N/A,200,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Dwarf Purple Monkeyflower,Diplacus nanus,#N/A,200,0,,,,,,,,,,,,No
Flowers,Orchids,Denseflower Rein Orchid,Platanthera elongata,2025-07-05,618,363,,,,,,,,,,,,No
Butterflies,True Metalmarks,Mormon Metalmark,Apodemia mormo,2024-08-13,618,203,,,,,,,,,,,,No
Mammals,Eared Seals,Steller Sea Lion,Eumetopias jubatus,2023-09-16,615,464,,,,,,,,,,,,Yes
Butterflies,Hairstreaks,Western Pine Elfin,Callophrys eryphon,2025-04-21,615,140,,,,,,,,,,,,No
Damselflies,Narrow-winged,Emma's Dancer,Argia emma,2025-05-26,614,195,,,,Sunol Regional Wilderness,,,,,,,,No
Frogs & Toads,True Toads,Black Toad,Anaxyrus exsul,#N/A,199,0,,,,,SNE,6,,,,,,No
Butterflies,Checkerspots & Anglewings,Tiny Checkerspot,Microtia dymas,2024-03-16,602,0,,,,,,,,,,,,No
Flowers,Beardtongues,Mojave Beardtongue,Penstemon incertus,#N/A,195,0,,,,,,,,,,,,
Moths,Sphinx Moths,Vashti Sphinx,Sphinx vashti,#N/A,193,0,,,,,,,,,,,,No
Butterflies,Whites,Pine White,Neophasia menapia,2023-08-19,587,55,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Yellow-head Aeolid,Tenellia flavovulta,2024-09-19,583,364,,,,,,,,,,,,Yes
Butterflies,Blues,Glaucon Blue,Euphilotes glaucon,#N/A,192,0,,,,,SNE,6,,,,,,No
Flowers,Threadplants,Desert Nemacladus,Nemacladus tenuis,#N/A,189,0,,,,,,,,,,,,No
Butterflies,Spread-wing Skippers,Two-banded Checkered-Skipper,Pyrgus ruralis,2023-08-05,580,288,,,,,,,,,,,,No
Dragonflies,Skimmers,Dot-tailed Whiteface,Leucorrhinia intacta,#N/A,188,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Doriopsilla rowena,Doriopsilla rowena,#N/A,187,0,,,,,,,,,,,,Yes
Flowers,Threadplants,Inyo Threadplant,Nemacladus sigmoideus,#N/A,185,0,,,,,,,,,,,,No
Mammals,Porpoises,Harbor Porpoise,Phocoena phocoena,2023-02-18,572,395,,,,,,,,,,,,Yes
Flowers,Clarkia,Redspot Clarkia,Clarkia speciosa,#N/A,184,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Calico Monkeyflower,Diplacus pictus,#N/A,183,0,,,,,,,,,,,,No
Flowers,Violets,Hall's Violet,Viola hallii,#N/A,183,0,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Hoffmann's Checkerspot,Chlosyne hoffmanni,2023-08-19,566,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Red Saddlebags,Tramea onusta,2024-06-24,563,46,,,,,,,,,,,,No
Flowers,Lobelias,Harlequin Calicoflower,Downingia insignis,2026-04-18,560,532,,,,,,,,,,,,No
Flowers,Monkeyflowers,Small-leaf Monkeyflower,Erythranthe microphylla,2026-03-21,555,271,,,,,,,,,,,,No
Mammals,Oceanic Dolphins,Orca,Orcinus orca,2025-08-24,552,84,,,,,,,,,,,,No
Lizards,Phyllodactylid Geckos,Peninsular Leaf-toed Gecko,Phyllodactylus nocticolus,#N/A,183,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Mojave Monkeyflower,Diplacus mohavensis,#N/A,176,0,,,,,,,,,,,,No
Butterflies,Dicot Skippers,Northern Cloudywing,Cecropterus pylades,2025-04-18,545,295,,,,,,,,,,,,No
Butterflies,Grass Skippers,American Branded Skipper,Hesperia colorado,2024-07-19,544,82,,,,,,,,,,,,No
Flowers,Orchids,Heartleaf Twayblade,Neottia cordata,#N/A,176,0,,,,,,,,,,,,No
Butterflies,Grass Skippers,Sonoran Skipper,Limochores sonora,2023-08-19,540,6,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Hydaspe Fritillary,Argynnis hydaspe,2024-07-17,540,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Montia-like Monkeyflower,Erythranthe montioides,#N/A,175,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Lavender Dancer,Argia hinei,#N/A,174,0,,,,,,,,,,,,No
Butterflies,Satyrs & Morphos,Great Basin Wood-Nymph,Cercyonis sthenele,2024-08-03,530,164,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Shirley Meadows Star-Tulip,Calochortus westonii,#N/A,174,0,,,,,,,,,,,,No
Flowers,Orchids,Cooper's Rein Orchid,Platanthera cooperi,#N/A,173,0,,,,,,,,,,,,No
Birds,Water & Shorebirds,Gull-billed Tern,Gelochelidon nilotica,2022-04-19,521,0,,,,,,,,,,,,
Nudibranchs,Doridina,White Smooth-horn Dorid,Conualevia alba,#N/A,171,0,,,,,,,,,,,,Yes
Butterflies,Dicot Skippers,Silver-spotted Skipper,Epargyreus clarus,2024-06-27,516,140,,,,,,,,,,,,No
Flowers,Monkeyflowers,Tricolor Monkeyflower,Diplacus tricolor,2026-05-09,513,230,,,,Near Mather (Sac area),SnFrB,4,,,,,,No
Flowers,Larkspurs,Rose-flowered Larkspur,Delphinium purpusii,#N/A,168,0,,,,,,,,,,,,
Flowers,Clarkia,Glandular Clarkia,Clarkia arcuata,#N/A,166,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Coast Range Mariposa Lily,Calochortus vestae,2025-06-22,510,336,,,,,,,,,,,,No
Flowers,Threadplants,Short-Flowered Threadplant,Nemacladus breviflorus,#N/A,165,0,,,,,,,,,,,,No
Birds,Raptors,American Goshawk,Astur atricapillus,#N/A,164,0,,,,,,,,,,,,No
Butterflies,Blues,Melissa Blue,Plebejus melissa,2023-08-06,500,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Desert Firetail,Telebasis salva,2024-09-10,496,158,,,,,,,,,,,,No
Flowers,Monkeyflowers,Threadleaf Primrose Monkeyflower,Erythranthe linearifolia,#N/A,164,0,,,,,,,,,,,,No
Flowers,True Lilies,Coast Fawn Lily,Erythronium revolutum,#N/A,164,0,,,,,,,,,,,,No
Moths,Buck & Io Moths,Nevada Buck Moth,Hemileuca nevadensis,#N/A,164,0,,,,,,,,,,,,No
Butterflies,Coppers,Hermes Copper,Tharsalea hermes,#N/A,163,0,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Sleepy Orange,Eurema nicippe,2025-04-07,485,0,,,,,,,,,,,,No
Flowers,Clarkia,Ramona Clarkia,Clarkia similis,#N/A,163,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Wingstem Monkeyflower,Erythranthe alsinoides,#N/A,163,0,,,,,,,,,,,,No
Butterflies,Coppers,Blue Copper,Tharsalea heteronea,2024-07-07,477,209,,,,,,,,,,,,No
Flowers,Clarkia,Twolobe Clarkia,Clarkia biloba,2026-06-06,476,110,,,,,SnFrB,6,,,,,,No
Butterflies,Swallowtails,Two-tailed Swallowtail,Papilio multicaudata,2024-06-06,475,254,,,,,,,,,,,,No
Frogs & Toads,North American Spadefoots,Great Basin Spadefoot,Spea intermontana,#N/A,163,0,,,,,SNE,6,,,,,,No
Mammals,Hares & Rabbits,White-tailed Jackrabbit,Lepus townsendii,#N/A,163,0,,,,,SNE,6,,,,,,No
Flowers,Monkeyflowers,Johnston's Monkeyflower,Diplacus johnstonii,#N/A,162,0,,,,,,,,,,,,No
Mammals,Mice & Rats,Desert Woodrat,Neotoma lepida,#N/A,162,0,,,,,,,,,,,,No
Butterflies,Blues,Eastern Tailed-Blue,Cupido comyntas,2024-05-16,461,283,,,,,,,,,,,,No
Flowers,Monkeyflowers,Parish's Monkeyflower,Erythranthe parishii,#N/A,161,0,,,,,,,,,,,,No
Butterflies,Blues,Sierra Blue,Agriades podarce,2023-07-23,458,0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Keen's Tritonid,Tritonicula myrakeenae,#N/A,160,0,,,,,,,,,,,,Yes
Dragonflies,Darners,Variable Darner,Aeshna interrupta,#N/A,159,0,,,,,,,,,,,,No
Turtles,Typical Sea Turtles,Green Sea Turtle,Chelonia mydas,2025-04-04,456,2,,,,,,,,,,,,Yes
Flowers,Orchids,Broad-lipped Twayblade,Neottia convallarioides,#N/A,159,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Wing-leaf Monkeyflower,Erythranthe ptilota,2024-09-07,449,359,,,,,,,,,,,,No
Flowers,Orchids,Mountain Lady's-Slipper,Cypripedium montanum,#N/A,157,0,,,,,,,,,,,,No
Butterflies,Blues,Anna's Blue,Plebejus anna,2023-08-05,442,0,,,,,,,,,,,,No
Flowers,Larkspurs,Pinoche Creek Larkspur,Delphinium gypsophilum,#N/A,156,0,,,,,,,,,,,,
Butterflies,Coppers,Lilac-bordered Copper,Tharsalea nivalis,2023-08-05,435,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Slender Monkeyflower,Diplacus leptaleus,#N/A,155,0,,,,,,,,,,,,No
Flowers,Clarkia,Mountain Clarkia,Clarkia heterandra,#N/A,152,0,,,,,,,,,,,,No
Flowers,Clarkia,Lewis' Clarkia,Clarkia lewisii,#N/A,152,0,,,,,,,,,,,,No
Butterflies,Blues,Friday's Blue,Plebejus fridayi,#N/A,151,0,,,,,,,,,,,,No
Flowers,Violets,Canary Violet,Viola praemorsa,#N/A,151,0,,,,,,,,,,,,No
Butterflies,Spread-wing Skippers,Afranius Duskywing,Erynnis afranius,#N/A,149,0,,,,,,,,,,,,No
Mammals,Mice & Rats,Bryant's Woodrat,Neotoma bryanti,#N/A,147,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Three-color Polycera,Polycera tricolor,#N/A,146,0,,,,,,,,,,,,Yes
Salamanders,Lungless Salamanders,Samwel Shasta Salamander,Hydromantes samweli,#N/A,144,0,,,,,,,,,,,,No
Mammals,Mice & Rats,Gambel's Deer Mouse,Peromyscus gambelii,2024-06-17,410,33,,,,,,,,,,,,No
Butterflies,Satyrs & Morphos,Great Arctic,Oeneis nevadensis,#N/A,140,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Comanche Skimmer,Libellula comanche,#N/A,140,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Kelso Creek Monkeyflower,Erythranthe shevockii,#N/A,139,0,,,,,,,,,,,,No
Mammals,Oceanic Dolphins,Pacific White-sided Dolphin,Aethalodelphis obliquidens,2023-09-16,404,185,,,,,,,,,,,,No
Butterflies,Whites,Desert Orangetip,Anthocharis cethura,#N/A,138,0,,,,,,,,,,,,No
Flowers,Threadplants,Onesided Threadplant,Nemacladus secundiflorus,#N/A,138,0,,,,,,,,,,,,No
Butterflies,Hairstreaks,Mallow Scrub-Hairstreak,Strymon istapa,#N/A,136,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Redstem Monkeyflower,Erythranthe rubella,#N/A,133,0,,,,,SNE,6,,,,,,No
Flowers,True Lilies,Butte County Fritillary,Fritillaria eastwoodiae,#N/A,133,0,,,,,,,,,,,,No
Mammals,Mustelids,Pacific Marten,Martes caurina,#N/A,132,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Cat's Ear,Calochortus elegans,#N/A,131,0,,,,,,,,,,,,No
Lizards,Anoles,Brown Anole,Anolis sagrei,2022-03-15,385,2,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Mormon Fritillary,Argynnis mormonia,2023-10-14,382,0,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Northwestern Garter Snake,Thamnophis ordinoides,#N/A,131,0,,,,,,,,,,,,No
Flowers,Beardtongues,Firecracker Penstemon,Penstemon eatonii,#N/A,131,0,,,,,,,,,,,,
Mammals,Rorquals,Blue Whale,Balaenoptera musculus,2024-06-18,375,229,,,,,,,,,,,,Yes
Flowers,Monkeyflowers,Stanislaus Monkeyflower,Erythranthe marmorata,#N/A,129,0,,,,,,,,,,,,No
Birds,Raptors,Great Gray Owl,Strix nebulosa,#N/A,128,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,California Dancer,Argia agrioides,2025-05-31,372,106,,,,,SnFrB,8,,,,,,No
Nudibranchs,Doridina,Limbaugh's Cadlina,Cadlina limbaughorum,#N/A,128,0,,,,,,,,,,,,Yes
Butterflies,True Metalmarks,Wright's Metalmark,Calephelis wrighti,2023-11-25,368,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Party-colored Monkeyflower,Erythranthe discolor,#N/A,127,0,,,,,,,,,,,,No
Mammals,Kangaroo Rats,Dulzura Kangaroo Rat,Dipodomys simulans,#N/A,126,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Paiute Dancer,Argia alberta,#N/A,125,0,,,,,,,,,,,,No
Birds,Passerines,Swamp Sparrow,Melospiza georgiana,2022-04-28,358,134,,,,,,,,,,,,
Flowers,True Lilies,San Benito Fritillary,Fritillaria viridea,#N/A,123,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Jepson's Monkeyflower,Diplacus jepsonii,#N/A,122,0,,,,,,,,,,,,No
Flowers,Beardtongues,Thurber's Beardtongue,Penstemon thurberi,#N/A,121,0,,,,,,,,,,,,
Mammals,Squirrels,Shadow Chipmunk,Neotamias senex,#N/A,120,0,,,,,,,,,,,,No
Moths,Buck & Io Moths,Hemileuca burnsi,Hemileuca burnsi,#N/A,120,0,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Leanira Checkerspot,Chlosyne leanira,2024-06-06,352,91,,,,,,,,,,,,No
Flowers,Orchids,Great Basin Bog Orchid,Platanthera tescamnis,#N/A,119,0,,,,,SNE,6,,,,,,No
Flowers,Threadplants,Long-flowered Nemacladus,Nemacladus longiflorus,#N/A,118,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Hunchback Doris,Atagema alba,#N/A,118,0,,,,,,,,,,,,Yes
Flowers,Clarkia,Fort Miller Clarkia,Clarkia williamsonii,2026-06-10,348,0,,,,,,,,,,,,No
Mammals,Eared Seals,Northern Fur Seal,Callorhinus ursinus,2023-09-16,345,372,,,,,,,,,,,,Yes
Flowers,Monkeyflowers,Santa Susana Monkeyflower,Diplacus rutilus,#N/A,114,0,,,,,,,,,,,,No
Flowers,Threadplants,White Mountains Threadplant,Nemacladus morefieldii,#N/A,113,0,,,,,SNE,6,,,,,,No
Butterflies,Whites,Desert Marble,Euchloe lotta,#N/A,112,0,,,,,,,,,,,,No
Salamanders,Lungless Salamanders,Channel Islands Slender Salamander,Batrachoseps pacificus,#N/A,112,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Inyo Star-Tulip,Calochortus excavatus,#N/A,111,0,,,,,SNE,6,,,,,,No
Dragonflies,Skimmers,Saffron-winged Meadowhawk,Sympetrum costiferum,#N/A,110,0,,,,,,,,,,,,No
Salamanders,Lungless Salamanders,Mount Lyell Salamander,Hydromantes platycephalus,#N/A,110,0,,,,,SNE,6,,,,,,No
Flowers,Beardtongues,Snow Mountain Beardtongue,Penstemon purpusii,#N/A,108,0,,,,,,,,,,,,
Flowers,Mariposa Lilies,Siskiyou Mariposa Lily,Calochortus persistens,#N/A,106,0,,,,,,,,,,,,No
Flowers,Clarkia,Presidio Clarkia,Clarkia franciscana,2026-04-17,332,332,,,,Presidio or Oakland Serpentine Prairie,,,,,,,,No
Snakes,Colubrid Snakes,Striped Whipsnake,Masticophis taeniatus,#N/A,104,0,,,,,,,,,,,,No
Butterflies,Beak & Snout Butterflies,American Snout,Libytheana carinenta,2024-03-16,332,0,,,,,,,,,,,,No
Butterflies,Spread-wing Skippers,Mojave Sootywing,Hesperopsis libya,#N/A,103,0,,,,,,,,,,,,No
Flowers,Larkspurs,Upland Larkspur,Delphinium nuttallianum,#N/A,103,0,,,,,,,,,,,,
Mammals,Hares & Rabbits,Snowshoe Hare,Lepus americanus,#N/A,102,0,,,,,,,,,,,,No
Flowers,Orchids,Michael's Rein Orchid,Platanthera michaelii,2026-06-06,324,152,,,,,SnFrB,5,,,,,,No
Flowers,Beardtongues,California Beardtongue,Penstemon californicus,#N/A,101,0,,,,,,,,,,,,
Mammals,Hares & Rabbits,European Rabbit,Oryctolagus cuniculus,2023-08-31,321,107,,,,,,,,,,,,No
Flowers,Larkspurs,Hutchinson's Larkspur,Delphinium hutchinsoniae,#N/A,101,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Low Bush Monkeyflower,Diplacus aridus,#N/A,99,0,,,,,,,,,,,,No
Butterflies,Grass Skippers,Juba Skipper,Hesperia juba,2024-09-22,319,0,,,,,,,,,,,,No
Flowers,Orchids,Northwestern Twayblade,Neottia banksiana,#N/A,99,0,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Milbert's Tortoiseshell,Aglais milberti,2023-08-19,317,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Irish Hills Monkeyflower,Erythranthe serpentinicola,#N/A,98,0,,,,,,,,,,,,No
Mammals,Pocket Mice,San Diego Pocket Mouse,Chaetodipus fallax,#N/A,97,0,,,,,,,,,,,,No
Flowers,Beardtongues,Siskiyou Beardtongue,Penstemon anguineus,#N/A,97,0,,,,,,,,,,,,
Flowers,Mariposa Lilies,Winding Mariposa Lily,Calochortus flexuosus,#N/A,96,0,,,,,,,,,,,,No
Birds,Passerines,Gray Vireo,Vireo vicinior,#N/A,94,0,,,,,,,,,,,,No
Moths,Sphinx Moths,Giant Sphinx,Cocytius antaeus,#N/A,94,0,,,,,,,,,,,,No
Frogs & Toads,Typical Frogs,Southern Mountain Yellow-legged Frog,Rana muscosa,#N/A,93,0,,,,,,,,,,,,No
Flowers,Bellflowers,Marsh Harebell,Eastwoodiella californica,2026-06-28,307,278,,,,,SnFrB,7,,,,,Yes,No
Birds,Raptors,Zone-tailed Hawk,Buteo albonotatus,2024-01-14,307,0,,,,,,,,,,,,
Frogs & Toads,Typical Frogs,Rio Grande Leopard Frog,Lithobates berlandieri,#N/A,93,0,,,,,,,,,,,,No
Flowers,Beardtongues,Mono Penstemon,Penstemon monoensis,#N/A,93,0,,,,,,,,,,,,
Flowers,True Lilies,Klamath Fawn Lily,Erythronium klamathense,#N/A,92,0,,,,,,,,,,,,No
Flowers,True Lilies,Shasta Fawn Lily,Erythronium shastense,#N/A,92,0,,,,,,,,,,,,No
Moths,Buck & Io Moths,Sagebrush Sheep Moth,Hemileuca hera,#N/A,92,0,,,,,,,,,,,,No
Moths,Sphinx Moths,Clark's Sphinx,Proserpinus clarkiae,2025-04-18,296,108,,,,,,,,,,,,No
Mammals,Kangaroo Rats,Giant Kangaroo Rat,Dipodomys ingens,#N/A,91,0,,,,,,,,,,,,No
Flowers,Larkspurs,Slender Larkspur,Delphinium gracilentum,#N/A,91,0,,,,,,,,,,,,
Damselflies,Narrow-winged,Exclamation Damsel,Zoniagrion exclamationis,2026-05-09,293,277,,,,,SnFrB,5,,,,,,No
Butterflies,Hairstreaks,Leda Ministreak,Ministrymon leda,#N/A,90,0,,,,,,,,,,,,No
Flowers,Threadplants,Nuttall's Threadplant,Nemacladus ramosissimus,#N/A,90,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Band-winged Meadowhawk,Sympetrum semicinctum,2025-06-22,289,12,,,,,,,,,,,,No
Flowers,True Lilies,Cream Fawn Lily,Erythronium citrinum,#N/A,89,0,,,,,,,,,,,,No
Damselflies,Spreadwings & Allies,Spotted Spreadwing,Lestes congener,2024-08-20,288,88,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Great Basin Fritillary,Argynnis egleis,2023-08-05,288,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Little Purple Monkeyflower,Erythranthe purpurea,#N/A,87,0,,,,,,,,,,,,No
Moths,Emperor Moths,Glover's Silkmoth,Hyalophora gloveri,#N/A,87,0,,,,,,,,,,,,No
Flowers,Bellflowers,Rough Harebell,Campanula scabrella,#N/A,86,0,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Baja California Coachwhip,Masticophis fuliginosus,#N/A,86,0,,,,,,,,,,,,No
Flowers,Beardtongues,Rocky Mountain Beardtongue,Penstemon strictus,#N/A,86,0,,,,,,,,,,,,
Flowers,Beardtongues,Lone Pine Beardtongue,Penstemon patens,2026-06-11,282,0,,,,,,,,,,,,
Moths,Sphinx Moths,Phaeton Primrose Sphinx,Euproserpinus phaeton,#N/A,85,0,,,,,,,,,,,,No
Butterflies,Grass Skippers,California Giant-Skipper,Agathymus stephensi,#N/A,84,0,,,,,,,,,,,,No
Mammals,Squirrels,California Chipmunk,Neotamias obscurus,#N/A,84,0,,,,,,,,,,,,No
Flowers,Bellflowers,Sierra Bluecup,Githopsis pulchella,#N/A,83,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Palmer's Monkeyflower,Erythranthe palmeri,#N/A,83,0,,,,,,,,,,,,No
Flowers,Beardtongues,Death Valley Beardtongue,Penstemon fruticiformis,#N/A,83,0,,,,,,,,,,,,
Lizards,Phrynosomatid Lizards,Black-tailed Brush Lizard,Urosaurus nigricauda,#N/A,82,0,,,,,,,,,,,,No
Butterflies,Whites,Julia Orangetip,Anthocharis julia,#N/A,80,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Pink-margined Monkeyflower,Erythranthe trinitiensis,#N/A,80,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Vayssierea felis,Vayssierea felis,#N/A,80,0,,,,,,,,,,,,Yes
Flowers,Beardtongues,Roezl's Penstemon,Penstemon roezlii,#N/A,80,0,,,,,,,,,,,,
Dragonflies,Skimmers,Roseate Skimmer,Orthemis ferruginea,2024-03-16,269,1,,,,,,,,,,,,No
Flowers,Orchids,Western Ladies' Tresses,Spiranthes porrifolia,2026-06-21,268,96,,,,,SnFrB,6,,,,,Yes,No
Damselflies,Spreadwings & Allies,Emerald Spreadwing,Lestes dryas,2026-06-10,267,0,,,,,,,,,,,,No
Butterflies,Blues,Veined Blue,Icaricia neurona,#N/A,79,0,,,,,,,,,,,,No
Butterflies,Blues,Pallid Blue,Euphilotes pallescens,#N/A,79,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Dense Fruited Monkeyflower,Diplacus constrictus,#N/A,79,0,,,,,,,,,,,,No
Flowers,Larkspurs,Columbian Larkspur,Delphinium trolliifolium,#N/A,79,0,,,,,,,,,,,,
Flowers,Clarkia,Sierra Clarkia,Clarkia virgata,#N/A,78,0,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Northwestern Fritillary,Argynnis hesperis,#N/A,77,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Marl Pennant,Macrodiplax balteata,#N/A,77,0,,,,,,,,,,,,No
Birds,Passerines,Canada Jay,Perisoreus canadensis,2024-07-17,258,0,,,,,,,,,,,,
Flowers,Lobelias,Hoover's Calicoflower,Downingia bella,2026-04-18,254,127,,,,,,,,,,,,No
Dragonflies,Skimmers,Bleached Skimmer,Libellula composita,#N/A,74,0,,,,,,,,,,,,No
Flowers,Clarkia,Lake Almanor Clarkia,Clarkia stellata,#N/A,74,0,,,,,,,,,,,,No
Dragonflies,Clubtails,Serpent Ringtail,Erpetogomphus lampropeltis,#N/A,73,0,,,,,,,,,,,,No
Flowers,Hellebores & Trilliums,Desert Deathcamas,Toxicoscordion brevibracteatum,#N/A,73,0,,,,,DSon,4,,,,,,No
Birds,Passerines,Bendire's Thrasher,Toxostoma bendirei,#N/A,72,0,,,,,,,,,,,,No
Flowers,Hellebores & Trilliums,Siskiyou False-Hellebore,Veratrum insolitum,#N/A,72,0,,,,,KR,7,,,,,,No
Mammals,Kangaroo Rats,Agile Kangaroo Rat,Dipodomys agilis,#N/A,72,0,,,,,,,,,,,,No
